test.num,test,avg.wait,avg.response,avg.turnaround,throughput
1,RR1,237,14,395,395
1,RR4,244,50,395,395
1,RR8,236,93,396,396
1,FCFS,195,164,387,387
1,FCFS.MULT,90,74,185,185
1,FCFS.MULT.DIST,93,75,195,195
1,SPN,135,96,380,380
1,SPN.MULT,64,42,182,182
2,RR1,182,11,339,339
2,RR4,175,41,336,336
2,RR8,166,68,336,336
2,FCFS,147,96,334,334
2,FCFS.MULT,65,38,162,162
2,FCFS.MULT.DIST,70,40,170,170
2,SPN,115,63,321,321
2,SPN.MULT,54,25,157,157
3,RR1,251,15,417,417
3,RR4,247,49,415,415
3,RR8,247,86,417,417
3,FCFS,189,150,414,414
3,FCFS.MULT,86,66,200,200
3,FCFS.MULT.DIST,96,72,205,205
3,SPN,144,103,393,393
3,SPN.MULT,66,43,192,192
4,RR1,204,14,334,334
4,RR4,196,49,332,332
4,RR8,182,83,328,328
4,FCFS,154,121,317,317
4,FCFS.MULT,70,54,148,148
4,FCFS.MULT.DIST,75,51,159,159
4,SPN,118,86,315,315
4,SPN.MULT,53,35,147,147
5,RR1,225,14,335,335
5,RR4,219,53,332,332
5,RR8,213,90,330,330
5,FCFS,170,147,320,320
5,FCFS.MULT,77,65,155,155
5,FCFS.MULT.DIST,84,68,178,178
5,SPN,124,95,309,309
5,SPN.MULT,58,40,153,153
